title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer,EU citizen (%),Non-EU citizen (%),Academic/research Institution (%),Company/business (%),Business association (%),Non-governmental organisation (NGO) (%),Other (%),Trade union (%),Environmental organisation (%),Public authority (%),Consumer organisation (%),Prefer not to answer (%)
Data Act & amended rules on the legal protection of databasesTopicDigital economy and societyType of actProposal for a regulationFeedback period03 June 2021 - 03 September 2021,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13045-Data-Act-amended-rules-on-the-legal-protection-of-databases/feedback_en?p_id=14626,91.0,3,1.0,6.0,25.0,43.0,4.0,8.0,0.0,0.0,0.0,1.0,124.0,0.0,3.296703296703297,1.098901098901099,6.593406593406594,27.472527472527474,47.25274725274725,4.395604395604396,8.791208791208792,0.0,0.0,0.0,1.098901098901099,0.0
Artificial intelligence – ethical and legal requirementsTopicDigital economy and societyType of actProposal for a regulationFeedback period20 February 2020 - 14 June 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/feedback_en?p_id=13340,133.0,7,0.0,7.0,31.0,54.0,16.0,5.0,4.0,0.0,3.0,4.0,95.0,0.0,5.263157894736842,0.0,5.263157894736842,23.308270676691727,40.6015037593985,12.030075187969924,3.7593984962406015,3.007518796992481,0.0,2.2556390977443606,3.007518796992481,0.0
European Data Union StrategyTopicDigital economy and societyType of actCommunicationFeedback period23 May 2025 - 20 July 2025,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14541-European-Data-Union-Strategy/feedback_en?p_id=19708,247.0,25,4.0,31.0,39.0,67.0,32.0,29.0,3.0,0.0,17.0,0.0,49.0,0.0,10.121457489878543,1.6194331983805668,12.550607287449392,15.789473684210526,27.125506072874494,12.955465587044534,11.740890688259109,1.214574898785425,0.0,6.882591093117409,0.0,0.0
Apply AI Strategy – strengthening the AI continentTopicDigital economy and societyType of actCommunicationFeedback period09 April 2025 - 04 June 2025,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14625-Apply-AI-Strategy-strengthening-the-AI-continent/feedback_en?p_id=19463,287.0,33,3.0,29.0,69.0,79.0,30.0,25.0,9.0,0.0,9.0,1.0,45.0,0.0,11.498257839721255,1.0452961672473868,10.104529616724738,24.041811846689896,27.526132404181187,10.452961672473867,8.710801393728223,3.1358885017421603,0.0,3.1358885017421603,0.34843205574912894,0.0
"Uniform rounding rules for cash payments in euro – assessmentTopicEconomy, finance and the euroType of actActFeedback period28 September 2020 - 11 January 2021","Economy, finance and the euro",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12566-Uniform-rounding-rules-for-cash-payments-in-euro-assessment/feedback_en?p_id=13429,1455.0,1439,3.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,98.90034364261169,0.2061855670103093,0.13745704467353953,0.13745704467353953,0.06872852233676977,0.0,0.5498281786941581,0.0,0.0,0.0,0.0,0.0
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluationTopicEducation and trainingType of actReportFeedback period15 September 2023 - 08 December 2023,Education and training,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/feedback_en?p_id=16141,195.0,40,10.0,52.0,9.0,1.0,36.0,31.0,1.0,1.0,13.0,1.0,66.0,0.0,20.51282051282051,5.128205128205128,26.666666666666668,4.615384615384616,0.5128205128205128,18.461538461538463,15.897435897435896,0.5128205128205128,0.5128205128205128,6.666666666666667,0.5128205128205128,0.0
Learning opportunities (learning mobility) abroad in Europe for everyoneTopicEducation and trainingType of actProposal for a recommendationFeedback period08 February 2023 - 03 May 2023,Education and training,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13563-Learning-opportunities-learning-mobility-abroad-in-Europe-for-everyone/feedback_en?p_id=16720,408.0,170,7.0,101.0,11.0,9.0,28.0,56.0,2.0,0.0,24.0,0.0,31.0,0.0,41.66666666666667,1.715686274509804,24.754901960784316,2.696078431372549,2.2058823529411766,6.862745098039216,13.725490196078432,0.49019607843137253,0.0,5.88235294117647,0.0,0.0
European disability cardTopicEmployment and social affairsType of actProposal for a directiveFeedback period10 February 2023 - 05 May 2023,Employment and social affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13517-European-disability-card/feedback_en?p_id=16470,273.0,188,2.0,0.0,8.0,5.0,49.0,10.0,2.0,0.0,7.0,1.0,47.0,0.0,68.86446886446886,0.7326007326007326,0.0,2.93040293040293,1.8315018315018317,17.94871794871795,3.6630036630036633,0.7326007326007326,0.0,2.564102564102564,0.3663003663003663,0.0
Gender equality strategy 2020-2024TopicEmployment and social affairsType of actCommunicationFeedback period08 March 2019 - 31 May 2019,Employment and social affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12114-Gender-equality-strategy-2020-2024/feedback_en?p_id=12384,74.0,10,1.0,6.0,5.0,6.0,35.0,3.0,3.0,0.0,5.0,0.0,147.0,0.0,13.513513513513514,1.3513513513513513,8.108108108108109,6.756756756756757,8.108108108108109,47.2972972972973,4.054054054054054,4.054054054054054,0.0,6.756756756756757,0.0,0.0
EU renewable energy rules – reviewTopicEnergyType of actProposal for a directiveFeedback period17 November 2020 - 09 February 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12553-EU-renewable-energy-rules-review/feedback_en?p_id=13401,374.0,42,6.0,6.0,119.0,114.0,45.0,12.0,1.0,14.0,13.0,1.0,33.0,0.0,11.229946524064172,1.6042780748663104,1.6042780748663104,31.818181818181817,30.481283422459892,12.032085561497325,3.2085561497326207,0.267379679144385,3.7433155080213902,3.4759358288770055,0.267379679144385,0.0
